model,layer,domain_a,domain_b,auc
google--gemma-3-12b-it--width_16k,42,chemistry,physics,0.923935
google--gemma-3-12b-it--width_16k,42,math,physics,0.896423
google--gemma-3-12b-it--width_16k,43,biology,chemistry,0.817169
google--gemma-3-12b-it--width_16k,43,biology,math,0.765305
google--gemma-3-12b-it--width_16k,43,biology,physics,0.784714
google--gemma-3-12b-it--width_16k,43,chemistry,math,0.878616
google--gemma-3-12b-it--width_16k,43,chemistry,physics,0.925995
google--gemma-3-12b-it--width_16k,43,math,physics,0.900635
google--gemma-3-12b-it--width_16k,44,biology,chemistry,0.813965
google--gemma-3-12b-it--width_16k,44,biology,math,0.759811
google--gemma-3-12b-it--width_16k,44,biology,physics,0.781097
google--gemma-3-12b-it--width_16k,44,chemistry,math,0.878067
google--gemma-3-12b-it--width_16k,44,chemistry,physics,0.926178
google--gemma-3-12b-it--width_16k,44,math,physics,0.901688
google--gemma-3-12b-it--width_16k,45,biology,chemistry,0.812378
google--gemma-3-12b-it--width_16k,45,biology,math,0.758575
google--gemma-3-12b-it--width_16k,45,biology,physics,0.779678
google--gemma-3-12b-it--width_16k,45,chemistry,math,0.876358
google--gemma-3-12b-it--width_16k,45,chemistry,physics,0.925339
google--gemma-3-12b-it--width_16k,45,math,physics,0.901276
google--gemma-3-12b-it--width_16k,46,biology,chemistry,0.81012
google--gemma-3-12b-it--width_16k,46,biology,math,0.755875
google--gemma-3-12b-it--width_16k,46,biology,physics,0.777847
google--gemma-3-12b-it--width_16k,46,chemistry,math,0.875168
google--gemma-3-12b-it--width_16k,46,chemistry,physics,0.924194
google--gemma-3-12b-it--width_16k,46,math,physics,0.900497
google--gemma-3-12b-it--width_16k,47,biology,chemistry,0.840073
google--gemma-3-12b-it--width_16k,47,biology,math,0.788742
google--gemma-3-12b-it--width_16k,47,biology,physics,0.805603
google--gemma-3-12b-it--width_16k,47,chemistry,math,0.893478
google--gemma-3-12b-it--width_16k,47,chemistry,physics,0.93222
google--gemma-3-12b-it--width_16k,47,math,physics,0.91655
